job_id,job_benefits
2033023,"Competitive salary, Health insurance & social insurance packages according to Labor law, Monthly Birthday, Christmas day, New Year Party, Yearly Company trip..., Annual leaves per year, Dedicated milestones & recognition with company growth & success, "
2033497,"Yearly bonus, Yearly company trip, Monthly team building events, Monthly internal technical seminar (Osaka - Hanoi - Da Nang), Work-from-home on Wednesday, Social insurance based on full income, iMac and smart desk, For Osaka Office positions: House rental support ; Commuting expenses support ; Japanese class, "
2033527,"<p>Mức lương cạnh tranh dựa tr&ecirc;n Kiến thức, kinh nghiệm của mỗi c&aacute; nh&acirc;n (Trao đổi khi tr&uacute;ng tuyển)<br />Được hưởng chế độ Bảo hiểm theo luật lao động v&agrave; chương tr&igrave;nh ABBANK CARE (chế độ đ&atilde;i ngộ, ph&uacute;c lợi bổ sung d&agrave;nh cho to&agrave;n thể c&aacute;n bộ nh&acirc;n vi&ecirc;n ABBANK).<br />Được vay ưu đ&atilde;i (l&atilde;i suất hấp dẫn) d&agrave;nh cho c&aacute;n bộ nh&acirc;n vi&ecirc;n ABBANK.<br />M&ocirc;i trường năng động v&agrave; s&aacute;ng tạo, ph&aacute;t huy tối đa năng lực bản th&acirc;n, điều kiện l&agrave;m việc tốt, đầy đủ phương tiện, thiết bị, c&oacute; cơ hội tham gia đ&agrave;o tạo, thăng tiến, ph&aacute;t triển sự nghiệp.<br />Tham gia c&aacute;c hoạt động văn h&oacute;a ngoại kh&oacute;a (Team building, hội thao, văn nghệ...);<br />Cung cấp thiết bị l&agrave;m việc, m&aacute;y t&iacute;nh x&aacute;ch tay<br />Du lịch<br />Thưởng<br />Đ&agrave;o tạo<br />Chế độ nghỉ ph&eacute;p<br />Bảo hiểm, phụ cấp<br />Chăm s&oacute;c sức khỏe<br />Tăng lương định kỳ<br />L&agrave;m việc: T2 -T6</p>, "
2033528,"<p>Mức lương cạnh tranh dựa tr&ecirc;n Kiến thức, kinh nghiệm của mỗi c&aacute; nh&acirc;n (Trao đổi khi tr&uacute;ng tuyển)<br />Được hưởng chế độ Bảo hiểm theo luật lao động v&agrave; chương tr&igrave;nh ABBANK CARE (chế độ đ&atilde;i ngộ, ph&uacute;c lợi bổ sung d&agrave;nh cho to&agrave;n thể c&aacute;n bộ nh&acirc;n vi&ecirc;n ABBANK).<br />Được vay ưu đ&atilde;i (l&atilde;i suất hấp dẫn) d&agrave;nh cho c&aacute;n bộ nh&acirc;n vi&ecirc;n ABBANK.<br />M&ocirc;i trường năng động v&agrave; s&aacute;ng tạo, ph&aacute;t huy tối đa năng lực bản th&acirc;n, điều kiện l&agrave;m việc tốt, đầy đủ phương tiện, thiết bị, c&oacute; cơ hội tham gia đ&agrave;o tạo, thăng tiến, ph&aacute;t triển sự nghiệp.<br />Tham gia c&aacute;c hoạt động văn h&oacute;a ngoại kh&oacute;a (Team building, hội thao, văn nghệ...);<br />Cung cấp thiết bị l&agrave;m việc, m&aacute;y t&iacute;nh x&aacute;ch tay<br />Du lịch<br />Thưởng<br />Đ&agrave;o tạo<br />Chế độ nghỉ ph&eacute;p<br />Bảo hiểm, phụ cấp<br />Chăm s&oacute;c sức khỏe<br />Tăng lương định kỳ<br />L&agrave;m việc: T2 -T6</p>, "
2033529,"<p>Mức lương cạnh tranh dựa tr&ecirc;n Kiến thức, kinh nghiệm của mỗi c&aacute; nh&acirc;n (Trao đổi khi tr&uacute;ng tuyển)<br />Được hưởng chế độ Bảo hiểm theo luật lao động v&agrave; chương tr&igrave;nh ABBANK CARE (chế độ đ&atilde;i ngộ, ph&uacute;c lợi bổ sung d&agrave;nh cho to&agrave;n thể c&aacute;n bộ nh&acirc;n vi&ecirc;n ABBANK).<br />Được vay ưu đ&atilde;i (l&atilde;i suất hấp dẫn) d&agrave;nh cho c&aacute;n bộ nh&acirc;n vi&ecirc;n ABBANK.<br />M&ocirc;i trường năng động v&agrave; s&aacute;ng tạo, ph&aacute;t huy tối đa năng lực bản th&acirc;n, điều kiện l&agrave;m việc tốt, đầy đủ phương tiện, thiết bị, c&oacute; cơ hội tham gia đ&agrave;o tạo, thăng tiến, ph&aacute;t triển sự nghiệp.<br />Tham gia c&aacute;c hoạt động văn h&oacute;a ngoại kh&oacute;a (Team building, hội thao, văn nghệ...);<br />Cung cấp thiết bị l&agrave;m việc, m&aacute;y t&iacute;nh x&aacute;ch tay<br />Du lịch<br />Thưởng<br />Đ&agrave;o tạo<br />Chế độ nghỉ ph&eacute;p<br />Bảo hiểm, phụ cấp<br />Chăm s&oacute;c sức khỏe<br />Tăng lương định kỳ<br />L&agrave;m việc: T2 -T6</p>, "
2033530,"<p>Mức lương cạnh tranh dựa tr&ecirc;n Kiến thức, kinh nghiệm của mỗi c&aacute; nh&acirc;n (Trao đổi khi tr&uacute;ng tuyển)<br />Được hưởng chế độ Bảo hiểm theo luật lao động v&agrave; chương tr&igrave;nh ABBANK CARE (chế độ đ&atilde;i ngộ, ph&uacute;c lợi bổ sung d&agrave;nh cho to&agrave;n thể c&aacute;n bộ nh&acirc;n vi&ecirc;n ABBANK).<br />Được vay ưu đ&atilde;i (l&atilde;i suất hấp dẫn) d&agrave;nh cho c&aacute;n bộ nh&acirc;n vi&ecirc;n ABBANK.<br />M&ocirc;i trường năng động v&agrave; s&aacute;ng tạo, ph&aacute;t huy tối đa năng lực bản th&acirc;n, điều kiện l&agrave;m việc tốt, đầy đủ phương tiện, thiết bị, c&oacute; cơ hội tham gia đ&agrave;o tạo, thăng tiến, ph&aacute;t triển sự nghiệp.<br />Tham gia c&aacute;c hoạt động văn h&oacute;a ngoại kh&oacute;a (Team building, hội thao, văn nghệ...);<br />Cung cấp thiết bị l&agrave;m việc, m&aacute;y t&iacute;nh x&aacute;ch tay<br />Du lịch<br />Thưởng<br />Đ&agrave;o tạo<br />Chế độ nghỉ ph&eacute;p<br />Bảo hiểm, phụ cấp<br />Chăm s&oacute;c sức khỏe<br />Tăng lương định kỳ<br />L&agrave;m việc: T2 -T6</p>, "
2033574,"Mức thu nhập đảm bảo cạnh tranh, phù hợp với năng lực và kinh nghiệm thực tế của ứng viên., Mức thưởng sẽ căn cứ vào kết quả hoạt động của BIDV, thời gian làm việc thực tế của cán bộ tại BIDV và xếp loại thi đua của cá nhân theo quý/6 tháng/1 năm., BIDV rà soát đánh giá năng lực cán bộ để đề xuất nâng cấp lương: định kỳ 2 lần/năm., Bảo hiểm: bảo hiểm y tế, bảo hiểm sức khỏe, Bảo hiểm hưu trí… theo chính sách của BIDV., Vay vốn tín chấp, vay vốn ưu đãi dành cho cán bộ., Du lịch - Nghỉ dưỡng - Team building hằng năm., Khám sức khỏe định kỳ (gói cơ bản và nâng cao) tại các bệnh viện tuyến đầu tại Hà Nội., Các phúc lợi hiếu hỷ, tiền mừng sinh nhật, tiền đồng phục hàng năm., Tham gia đầy đủ bảo hiểm xã hội theo quy định của pháp luật; bảo hiểm sức khỏe, bảo hiểm nhân thọ theo chính sách đãi ngộ .của BIDV., Nghỉ phép năm theo quy định của Nhà nước., Thời gian làm việc: Thứ 2 - Thứ 6; được thanh toán làm thêm giờ theo quy định, "
2033575,"Mức thu nhập đảm bảo cạnh tranh, phù hợp với năng lực và kinh nghiệm thực tế của ứng viên., Mức thưởng sẽ căn cứ vào kết quả hoạt động của BIDV, thời gian làm việc thực tế của cán bộ tại BIDV và xếp loại thi đua của cá nhân theo quý/6 tháng/1 năm., BIDV rà soát đánh giá năng lực cán bộ để đề xuất nâng cấp lương: định kỳ 2 lần/năm., Bảo hiểm: bảo hiểm y tế, bảo hiểm sức khỏe, Bảo hiểm hưu trí… theo chính sách của BIDV., Vay vốn tín chấp, vay vốn ưu đãi dành cho cán bộ., Du lịch - Nghỉ dưỡng - Team building hằng năm., Khám sức khỏe định kỳ (gói cơ bản và nâng cao) tại các bệnh viện tuyến đầu tại Hà Nội., Các phúc lợi hiếu hỷ, tiền mừng sinh nhật, tiền đồng phục hàng năm., Tham gia đầy đủ bảo hiểm xã hội theo quy định của pháp luật; bảo hiểm sức khỏe, bảo hiểm nhân thọ theo chính sách đãi ngộ .của BIDV., Nghỉ phép năm theo quy định của Nhà nước., Thời gian làm việc: Thứ 2 - Thứ 6; được thanh toán làm thêm giờ theo quy định, "
2033577,"Mức thu nhập đảm bảo cạnh tranh, phù hợp với năng lực và kinh nghiệm thực tế của ứng viên., Mức thưởng sẽ căn cứ vào kết quả hoạt động của BIDV, thời gian làm việc thực tế của cán bộ tại BIDV và xếp loại thi đua của cá nhân theo quý/6 tháng/1 năm., BIDV rà soát đánh giá năng lực cán bộ để đề xuất nâng cấp lương: định kỳ 2 lần/năm., Bảo hiểm: bảo hiểm y tế, bảo hiểm sức khỏe, Bảo hiểm hưu trí… theo chính sách của BIDV., Vay vốn tín chấp, vay vốn ưu đãi dành cho cán bộ., Du lịch - Nghỉ dưỡng - Team building hằng năm., Khám sức khỏe định kỳ (gói cơ bản và nâng cao) tại các bệnh viện tuyến đầu tại Hà Nội., Các phúc lợi hiếu hỷ, tiền mừng sinh nhật, tiền đồng phục hàng năm., Tham gia đầy đủ bảo hiểm xã hội theo quy định của pháp luật; bảo hiểm sức khỏe, bảo hiểm nhân thọ theo chính sách đãi ngộ .của BIDV., Nghỉ phép năm theo quy định của Nhà nước., Thời gian làm việc: Thứ 2 - Thứ 6; được thanh toán làm thêm giờ theo quy định, "
2033578,"Mức thu nhập đảm bảo cạnh tranh, phù hợp với năng lực và kinh nghiệm thực tế của ứng viên., Mức thưởng sẽ căn cứ vào kết quả hoạt động của BIDV, thời gian làm việc thực tế của cán bộ tại BIDV và xếp loại thi đua của cá nhân theo quý/6 tháng/1 năm., BIDV rà soát đánh giá năng lực cán bộ để đề xuất nâng cấp lương: định kỳ 2 lần/năm., Bảo hiểm: bảo hiểm y tế, bảo hiểm sức khỏe, Bảo hiểm hưu trí… theo chính sách của BIDV., Vay vốn tín chấp, vay vốn ưu đãi dành cho cán bộ., Du lịch - Nghỉ dưỡng - Team building hằng năm., Khám sức khỏe định kỳ (gói cơ bản và nâng cao) tại các bệnh viện tuyến đầu tại Hà Nội., Các phúc lợi hiếu hỷ, tiền mừng sinh nhật, tiền đồng phục hàng năm., Tham gia đầy đủ bảo hiểm xã hội theo quy định của pháp luật; bảo hiểm sức khỏe, bảo hiểm nhân thọ theo chính sách đãi ngộ .của BIDV., Nghỉ phép năm theo quy định của Nhà nước., Thời gian làm việc: Thứ 2 - Thứ 6; được thanh toán làm thêm giờ theo quy định, "
2033579,"Lương tháng 13 (Trung bình 4-5 tháng lương cơ bản), Được hưởng lương, thưởng và các cơ chế khuyến khích theo thỏa thuận và theo quy định của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam., Được chi bổ sung thu nhập theo kết quả làm việc, vị trí công việc và theo quy định của BIDV., Review lương 2 lần/năm, Cung cấp thiết bị làm việc, Du lịch - Nghỉ dưỡng - Team building hằng năm, Khám sức khỏe định kỳ, Các phúc lợi hiếu hỷ, tiền mừng sinh nhật, Tham gia đầy đủ bảo hiểm theo quy định, Nghỉ phép năm theo quy định của Nhà nước, Thời gian làm việc: Thứ 2 - Thứ 6 từ 08 giờ tới 17 giờ, "
2033580,"Lương tháng 13 (Trung bình 4-5 tháng lương cơ bản), Được hưởng lương, thưởng và các cơ chế khuyến khích theo thỏa thuận và theo quy định của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam., Được chi bổ sung thu nhập theo kết quả làm việc, vị trí công việc và theo quy định của BIDV., Review lương 2 lần/năm, Cung cấp thiết bị làm việc, Du lịch - Nghỉ dưỡng - Team building hằng năm, Khám sức khỏe định kỳ, Các phúc lợi hiếu hỷ, tiền mừng sinh nhật, Tham gia đầy đủ bảo hiểm theo quy định, Nghỉ phép năm theo quy định của Nhà nước, Thời gian làm việc: Thứ 2 - Thứ 6 từ 08 giờ tới 17 giờ, "
2033626,"Finance: Competitive salary package, annual leave encashment, 13th month salary, referral bonus;, Career Development: Career coaching, global career opportunities, non-linear career paths, internal development programmes for management and technical leadership;, Learning Opportunities: Complex projects, rotations, internal tech communities, training, coaching, online learning platforms subscriptions, English programme, certifications, pass-it-on sessions, workshops, conferences;, Work-Life Balance: Hybrid work and flexible working hours, employee assistance programme;, Health: Global internal wellbeing programme, access to wellbeing apps, premium health check, extra insurance;, Community: Global internal tech communities, hobby clubs and interest groups, inclusion and diversity programmes, events and celebrations;, Other: Trade Union benefits, Welcome package and gift-giving frequency., "
2033642,"Salary increase annually, promotion review twice per year, Annual Healthcare check; Social Insurance as Vietnamese regulation; PTI Insurance, Training Opportunities in Korea for outstanding Employees and Internal Training, Annual Company Trip, 12 days annual as Vietnamese regulations, Monthly Transportation Allowance, Mon - Fri (Morning: 8:30- 12:00, Afternoon: 13:00 - 17:30), "
2033699,"<p>Lương sẽ được thảo luận sau khi th&ocirc;ng qua CV &amp; Phỏng vấn<br />Lương th&aacute;ng 13 v&agrave; thưởng theo hiệu quả kinh doanh<br />Review đ&aacute;nh gi&aacute; năng lực h&agrave;ng năm v&agrave; điều chỉnh tăng lương theo hiệu quả c&ocirc;ng việc<br />Trợ c&acirc;́p: Ăn trưa, đi lại, đi&ecirc;̣n thoại, sinh nh&acirc;̣t<br />Được đào tạo và làm vi&ecirc;̣c cùng các chuy&ecirc;n gia Hàn Qu&ocirc;́c<br />Cơ hội ph&aacute;t triển nghề nghiệp tốt với c&aacute;c dự &aacute;n th&uacute; vị v&agrave; đầy thử th&aacute;ch<br />Chăm s&oacute;c sức khỏe: Kh&aacute;m sức khỏe định kỳ h&agrave;ng năm<br />C&aacute;c hoạt động ngo&agrave;i trời với sự hỗ trợ của c&ocirc;ng ty: c&acirc;u lạc bộ thể thao, team building, tiệc happy hour, sinh nhật, du lịch, sự kiện nh&acirc;n vi&ecirc;n v&agrave; gia đ&igrave;nh, v.v.<br />Thời gian l&agrave;m việc: T2 - T6 (8h-12h &amp; 13h-17h)</p>, "
2033702,"<p>M&ocirc;i trường l&agrave;m nghề t&agrave;i ch&iacute;nh chuy&ecirc;n nghiệp<br />L&agrave;m việc với tinh thần l&agrave;m chủ, s&aacute;ng tạo v&agrave; th&aacute;ch thức<br />Thu nhập xứng đ&aacute;ng theo năng lực v&agrave; gi&aacute; trị đ&oacute;ng g&oacute;p<br />Package lương trung b&igrave;nh l&ecirc;n đến 15-16 th&aacute;ng/năm<br />Nhận lại phần thu nhập đ&atilde; khấu trừ nếu đạt thử việc (Thời gian thử việc 2 th&aacute;ng, hưởng 85% lương); xem x&eacute;t thay đổi thu nhập h&agrave;ng năm<br />Tham gia BHXH, BHYT, BHTN theo đ&uacute;ng quy định luật lao động<br />C&aacute;c bảo hiểm sức khỏe v&agrave; bảo hiểm tai nạn 24/24<br />Kh&ocirc;ng gian l&agrave;m việc mở với trang thiết bị hiện đại<br />C&aacute;c hoạt động văn h&oacute;a, thiện nguyện phong ph&uacute; v&agrave; s&ocirc;i nổi</p>, "
2033703,"<p>M&ocirc;i trường l&agrave;m nghề t&agrave;i ch&iacute;nh chuy&ecirc;n nghiệp<br />L&agrave;m việc với tinh thần l&agrave;m chủ, s&aacute;ng tạo v&agrave; th&aacute;ch thức<br />Thu nhập xứng đ&aacute;ng theo năng lực v&agrave; gi&aacute; trị đ&oacute;ng g&oacute;p<br />Package lương trung b&igrave;nh l&ecirc;n đến 15-16 th&aacute;ng/năm<br />Nhận lại phần thu nhập đ&atilde; khấu trừ nếu đạt thử việc (Thời gian thử việc 2 th&aacute;ng, hưởng 85% lương); xem x&eacute;t thay đổi thu nhập h&agrave;ng năm<br />Tham gia BHXH, BHYT, BHTN theo đ&uacute;ng quy định luật lao động<br />C&aacute;c bảo hiểm sức khỏe v&agrave; bảo hiểm tai nạn 24/24<br />Kh&ocirc;ng gian l&agrave;m việc mở với trang thiết bị hiện đại<br />C&aacute;c hoạt động văn h&oacute;a, thiện nguyện phong ph&uacute; v&agrave; s&ocirc;i nổi</p>, "
