company_id,company_name,country,size,logo,website,about_us
50612,"TopDev's Client",Vietnam,25-99,https://assets.topdev.vn/images/2024/03/01/TopDev-SE6qQ18EbAUjcfoD-1709278717.png,topdev.vn,"We are American company that specializes in developing software for the music industry. The programs we develop help record labels and artists market and monetize their music. We have offices in US and Europe, and we opened our Hanoi office in 2018. We are a young, dynamic company that is committed to making the music industry a simpler, more profitable place for artists."
53647,"VIET LINK SOLUTIONS CO .,LTD","Not found!","Not found!",https://assets.topdev.vn/files/logos/31428deef180d77fc615f7e0dc81bffd.png,"Not found!",
55771,"Just - In - Time Solutions",Vietnam,100-499,https://assets.topdev.vn/images/2020/05/06/OWmaalJb0oMGdm4ZjLmApPOR6yqRpEci.jpg,https://jits.com.vn/,"Just-in-Time Solutions (JITS) is a leading regional financial technology company, offering a comprehensive portfolio of IT products and services. We operate internationally through our offices and contact points in Ho Chi Minh City, Hanoi, Vientiane, Phnom Penh, and Yangon."
55929,"Got It",Vietnam,100-499,https://assets.topdev.vn/images/2022/08/25/TopDev-logoJg79B9nS6V4twd63OJqqvPuPWwHLKLHg-1661398129.png,https://www.gotit.vn/,"Got It is the original mobile e-voucher management platform in Vietnam. We combine amazing people, creativity, solution based thinking and technological innovation to meet our clients and end-users needs."
58023,Wizy,Vietnam,25-99,https://assets.topdev.vn/files/logos/5b7e56cf5b96e4c888cc93e0ebd93814.png,https://wizy.vn/,"Wizy enables Vietnamese developers to work in a new world setup under pandemic, fully remotely. Work anywhere you want with our international team across the globe to serve our clients in the United States, Europes and South Africa."
59216,NEXTOP,Japan,25-99,https://assets.topdev.vn/files/logos/5493fd0d20013bce8d5f2119415f9ff3.jpg,https://www.nextop.asia,"NEXTOP Co., Ltd is a solution provider of financial systems of Forex, CFD and its white label systems for over 10 years and focuses on developing crypto currency exchange in next years. Headquartered in Tokyo, Japan; we have grown rapidly with continual expansion of 02 software development centers in Hanoi, Vietnam and in Dalian, China consisting of professional advisors, IT experts, engineers and developers."
61226,"FPT Software",Vietnam,"Hơn 1000",https://assets.topdev.vn/images/2021/04/12/FPTSOFT-Logo-new-NVf2j.png,https://career.fpt-software.com/,"FPT Software là công ty thành viên thuộc Tập đoàn FPT. Được thành lập từ năm 1999, FPT Software hiện là công ty chuyên cung cấp các dịch vụ và giải pháp phần mềm cho các khách hàng quốc tế, với hơn 28000 nhân viên, hiện diện tại 27 quốc gia trên toàn cầu. Nhiều năm liền, FPT Software được bình chọn là Nhà Tuyển dụng được yêu thích nhất và nằm trong TOP các công ty có môi trường làm việc tốt nhất Việt Nam."
61244,CAZOODLE,"United States",25-99,https://assets.topdev.vn/images/2022/08/11/TopDev-h1-AnhNguyen-1660209682.png,https://www.cazoodle.com/,"Cazoodle specializes in building new search engines that aggregate information from thousands of online sources, creating a one stop-destination for users to quickly navigate through all their possible choices for finding funding opportunities, renting an apartment or buying a certain product. We are seeking software developers to join our team tasked with maintaining and developing not only our vertical search applications but also our crawling platform which helps collect and aggregate data from online sources."
62606,"Home Credit Vietnam",Czech-Republic,"Hơn 1000",https://assets.topdev.vn/files/logos/79d367d23e39eacfc046b9a6a1bd837b.png,https://career.homecredit.vn/,"Home Credit is a leading digital financing solutions firm which empowers people to live the life they want by seamlessly delivering innovative financial services through extensive insights powered by scalable technology platforms and powerful partnerships."
63221,SYNERGIX,Singapore,25-99,https://assets.topdev.vn/files/logos/6ffc31d30ad72644036634ef1150e5a2.png,https://www.synergixtech.com﻿,"Synergix Technologies is Singapore’s leader in enterprise solution, Cloud ERP solutions, and software service. We are proud to be one of the largest local and principal system developer for Small and Medium-sized companies. Founded in 1990 by Mr Koh Yang Uei, Synergix Technologies grew from a small accounting venture to the development of a fully integrated, web-based ERP System which is the most integrated Cloud-based ERP software offered in Singapore."
63904,"KMS Technology","United States","Hơn 1000",https://assets.topdev.vn/files/logos/83013c268988052b803dc4b44ebf7345.png,https://careers.kms-technology.com/,"Established in 2009, KMS Technology is a U.S.-based engineering and services company with development centers in Vietnam. KMS Technology is trusted by international clients for the superior quality of products and expertise of Vietnamese engineers."
64442,"CÔNG TY CỔ PHẦN CHỨNG KHOÁN VNDIRECT",Vietnam,"Hơn 1000",https://assets.topdev.vn/images/2021/07/16/TopDev-LogoVNDIRECT-tmphmminh-1626399835.png,https://www.vndirect.com.vn/,
64832,"CYBOZU VIETNAM",Japan,25-99,https://assets.topdev.vn/images/2022/02/28/TopDev-logoLcUiJsxWseqQMTzbf3wXCvJoQRAUmf52-1646039294.png,https://cybozu.vn/,"WHO ARE WE?"
67320,"BSS Group",Vietnam,100-499,https://assets.topdev.vn/images/2023/10/17/TopDev-z2F86p0b8KwwodKt-1697535265.jpg,http://bssgroup.vn​,"BSS Group is the trusted partner for full service ecommerce solutions.Since 2012, BSS has provided a wide range of products and services on multiple platforms. Two years later, BSS Commerce was established representing a significant step in the company's efforts to build a reputable brand of products & services.In 2022, we are thrilled to have Magestore and Simicart join the ecosystem to diversify our offerings for hundred thousands of customers from over 150 countries in the world.From our humble beginnings with only 3 key members in our first office, BSS Group has now expanded to 300 members - including Ecommerce Solution Specialists, Certified Developers, PMP certified Project Managers, highly qualified Testers, and Marketers.To become a trusted full-service solution provider for multiple eCommerce platforms on a global scale, we are eager to find out the next talented generation to join us. We pride ourselves on: - Competitive benefits- Plentiful career development opportunities- International project & Innovative technology- Human-centric working environmentFind out more about BSS:1. Products & Services: https://bsscommerce.com/ and https://www.magestore.com/2. People & Culture: https://bssgroup.vn/"
67546,"SPS Vietnam Company Limited",Switzerland,"Hơn 1000",https://assets.topdev.vn/images/2023/02/07/TopDev-SPS_Logo-wTag_green_rgb_pos-1675757792.png,https://www.spsglobal.com/en/home,"ABOUT SPS"
68206,"FPT IS",Vietnam,"Hơn 1000",https://assets.topdev.vn/images/2024/05/03/TopDev-glQDdmhvsNpKO4qt-1714706079.png,https://fpt-is.com/,"As a cornerstone of FPT Corporation, a leader in integrated solutions and IT services in Vietnam for nearly three decades, FPT IS proudly stands as a trusted partner, committed to co-creating future value through technology alongside top enterprises and organizations, both domestically and globally."
70161,"NEC Vietnam",Japan,100-499,https://assets.topdev.vn/images/2021/10/11/TopDev-logoTfMFjgN0C6UmH9ZSU93bZqsO9kHoE55K-1633926986.png,https://vn.nec.com/﻿,"NEC established its liaison office in Vietnam in the early 1990s. In line with its growth strategy, it was re-organized as NEC Vietnam Co., Ltd. in 2006, with a newfound commitment to grow the business and contribute towards the people and society of Vietnam."
70890,"GEEK Up","Not found!","Not found!",https://assets.topdev.vn/files/logos/493b6be5ce69f9e0255293abeafc67b9.png,"Not found!",
71079,"CÔNG TY CỔ PHẦN GIẢI PHÁP PHẦN MỀM TÀI CHÍNH (FSS)","Not found!","Not found!",https://assets.topdev.vn/files/logos/c1a7b15e314c70bf639cff59acb709e1.jpg,"Not found!",
72241,"THL ONE",Vietnam,25-99,https://assets.topdev.vn/images/2021/06/10/dd3a045beeba86b3a669486c35044b0d-ar10D.png,https://www.thlone.vn/,"As a leading enterprise in the information technology software development outsourcing in Vietnam and Korea in the last decade."
72403,"South Telecom",Vietnam,100-499,https://assets.topdev.vn/images/2020/07/22/logonHXVEqXDWg7m3totbQkEf1JOyXdv92j5-dErSQ.png,https://southtelecom.vn/,"South Telecom là Nhà cung cấp dịch vụ số - DSP (Digital Service Provider) sở hữu sản phẩm có công nghệ tiên tiến, tích hợp hiệu quả các ứng dụng của khách hàng, đồng hành tạo nên giải pháp thành công cho Doanh nghiệp."
73654,"Ekino VietNam",France,100-499,https://assets.topdev.vn/files/logos/9d05f9f061845603e3db3793bc2fd3fb.png,https://www.ekino.vn/,"Ekino is a French company specialising in the Conception, Design, Development and Maintenance of digital solutions: Digital Platforms, Websites, and Mobile Applications."
