district_id,district_name
0,undefined
1,"Quận Ba Đình"
2,"Quận Hoàn Kiếm"
3,"Quận Tây Hồ"
4,"Quận Long Biên"
5,"Quận Cầu Giấy"
6,"Quận Đống Đa"
7,"Quận Hai Bà Trưng"
8,"Quận Hoàng Mai"
9,"Quận Thanh Xuân"
18,"Huyện Gia Lâm"
19,"Quận Nam Từ Liêm"
21,"Quận Bắc Từ Liêm"
256,"Thành phố Bắc Ninh"
258,"Huyện Yên Phong"
268,"Quận Hà Đông"
276,"Huyện Thạch Thất"
312,"Huyện An Dương"
380,"Thành phố Thanh Hóa"
474,"Thành phố Huế"
491,"Quận Thanh Khê"
492,"Quận Hải Châu"
493,"Quận Sơn Trà"
494,"Quận Ngũ Hành Sơn"
495,"Quận Cẩm Lệ"
540,"Thành phố Qui Nhơn"
718,"Thành phố Thủ Dầu Một"
760,"Quận 1"
761,"Quận 12"
762,"Thành phố Thủ Đức"
765,"Quận Bình Thạnh"
766,"Quận Tân Bình"
767,"Quận Tân Phú"
768,"Quận Phú Nhuận"
770,"Quận 3"
771,"Quận 10"
772,"Quận 11"
773,"Quận 4"
778,"Quận 7"
916,"Quận Ninh Kiều"
