ward_id,ward_name
0,undefined
13,"Phường Quán Thánh"
28,"Phường Kim Mã"
58,"Phường Lý Thái Tổ"
79,"Phường Tràng Tiền"
88,"Phường Hàng Bài"
103,"Phường Xuân La"
136,"Phường Phúc Lợi"
157,"Phường Nghĩa Đô"
166,"Phường Dịch Vọng"
167,"Phường Dịch Vọng Hậu"
172,"Phường Yên Hoà"
175,"Phường Trung Hoà"
178,"Phường Cát Linh"
187,"Phường Láng Thượng"
190,"Phường Ô Chợ Dừa"
199,"Phường Láng Hạ"
256,"Phường Lê Đại Hành"
283,"Phường Vĩnh Tuy"
295,"Phường Minh Khai"
337,"Phường Hoàng Liệt"
340,"Phường Yên Sở"
343,"Phường Nhân Chính"
349,"Phường Khương Trung"
352,"Phường Khương Mai"
355,"Phường Thanh Xuân Trung"
361,"Phường Hạ Đình"
577,"Xã Đa Tốn"
592,"Phường Cầu Diễn"
610,"Phường Xuân Đỉnh"
616,"Phường Cổ Nhuế 1"
625,"Phường Mỹ Đình 1"
626,"Phường Mỹ Đình 2"
631,"Phường Mễ Trì"
637,"Phường Trung Văn"
9184,"Phường Ninh Xá"
9217,"Xã Đông Tiến"
9547,"Phường Yết Kiêu"
10000,"Xã Tân Xã"
11611,"Xã Lê Lợi"
14794,"Phường Đông Hương"
19789,"Phường Phú Nhuận"
20218,"Phường Vĩnh Trung"
20233,"Phường Thạch Thang"
20236,"Phường Hải Châu  I"
20242,"Phường Phước Ninh"
20260,"Phường Khuê Trung"
20272,"Phường An Hải Bắc"
20278,"Phường An Hải Tây"
20290,"Phường Hoà Hải"
21595,"Phường Ghềnh Ráng"
25756,"Phường Chánh Nghĩa"
25760,"Phường Hoà Phú"
26734,"Phường Tân Định"
26737,"Phường Đa Kao"
26740,"Phường Bến Nghé"
26743,"Phường Bến Thành"
26746,"Phường Nguyễn Thái Bình"
26749,"Phường Phạm Ngũ Lão"
26755,"Phường Cô Giang"
26776,"Phường Tân Chánh Hiệp"
26833,"Phường Long Thạnh Mỹ"
26836,"Phường Tân Phú"
26920,"Phường 25"
26938,"Phường 15"
26953,"Phường 21"
26956,"Phường 22"
26965,"Phường 02"
26968,"Phường 04"
26971,"Phường 12"
26974,"Phường 13"
26977,"Phường 01"
26992,"Phường 10"
27004,"Phường 14"
27013,"Phường Tây Thạnh"
27064,"Phường 08"
27073,"Phường 11"
27088,"Phường Thảo Điền"
27091,"Phường An Phú"
27100,"Phường Bình Trưng Tây"
27106,"Phường An Khánh"
27112,"Phường Thạnh Mỹ Lợi"
27115,"Phường An Lợi Đông"
27133,"Phường 11"
27139,"Phường Võ Thị Sáu"
27148,"Phường 04"
27151,"Phường 05"
27157,"Phường 02"
27172,"Phường 12"
27181,"Phường 09"
27208,"Phường 15"
27265,"Phường 06"
27466,"Phường Tân Thuận Đông"
27487,"Phường Tân Phú"
27490,"Phường Tân Phong"
